,entity_id,state,created
123,binary_sensor.0x00158d0001e4ad46_occupancy,on,2021-11-26 21:23:59.362715
124,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-26 21:23:59.361667
125,sensor.0x00158d0001e4ad46_illuminance_lux,16,2021-11-26 21:23:59.359277
126,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 21:23:54.846277
127,sensor.0x00158d00066941c9_illuminance_lux,27,2021-11-26 21:23:54.845645
128,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-26 21:23:54.843908
130,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 21:22:41.669852
131,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 21:22:41.668985
132,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-26 21:22:41.668327
133,sensor.0x00158d00066941c9_illuminance_lux,27,2021-11-26 21:22:41.666723
137,device_tracker.chris_phone,home,2021-11-26 21:20:33.444189
138,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 21:20:07.636199
139,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 21:20:07.635340
140,sensor.0x00158d00066941c9_illuminance_lux,27,2021-11-26 21:20:07.633314
143,device_tracker.chris_phone,home,2021-11-26 21:19:00.117706
144,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 21:18:37.626404
145,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 21:18:37.625299
146,sensor.0x00158d00066941c9_illuminance_lux,27,2021-11-26 21:18:37.624225
147,sensor.0x00158d00066941c9_illuminance_lux,32,2021-11-26 21:18:37.620872
150,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 21:18:22.675858
151,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 21:18:22.674797
152,sensor.0x00158d00066941c9_illuminance_lux,32,2021-11-26 21:18:22.672424
155,device_tracker.chris_phone,home,2021-11-26 21:18:16.409816
156,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 21:17:54.033661
157,sensor.0x00158d00066941c9_illuminance_lux,32,2021-11-26 21:17:54.032861
158,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-26 21:17:54.030792
160,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 21:16:52.666423
161,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 21:16:52.665560
162,sensor.0x00158d00066941c9_illuminance_lux,18,2021-11-26 21:16:52.664841
163,sensor.0x00158d00066941c9_illuminance_lux,20,2021-11-26 21:16:52.663235
165,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-26 21:16:44.423515
166,sensor.0x00158d0001e4ad46_illuminance_lux,16,2021-11-26 21:16:44.421688
169,device_tracker.chris_phone,home,2021-11-26 21:14:59.902931
